,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-06-30,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0324,480283704,124061745294,0.012
1,2025-06-30,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0286,423950930,109510466120,0.015700001
2,2025-08-31,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,189643332,48986635514,0.0017
3,2025-08-31,SPDR S&P 500 ETF TRUST,0.012200001,180385996,46595379572,-0.012999999
4,2025-08-31,iShares Trust-iShares Core S&P 500 ETF,0.0121,179727542,46425294783,0.0074
5,2025-06-30,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.01,147872804,38196919847,0.0145000005
6,2025-08-31,"Invesco QQQ Trust, Series 1",0.0084,124259866,32097478464,-0.0034999999
7,2025-06-30,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0062,91543381,23646506267,-0.0115
8,2025-05-31,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.005,74018868,19119761658,0.0272
9,2025-08-31,iShares Trust-iShares Russell 1000 Growth ETF,0.0037,55486808,14332758292,-0.001
